"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365CH","B365CD","B365CA"
"08/12/2024","Sivasspor","Galatasaray","2","3","A","1","2","A","11","16","5","8","16","8","3","7","6","4","0","1","5.75","5","1.42","8","6.25","1.25"
"08/12/2024","Buyuksehyr","Hatayspor","3","0","H","0","0","D","19","8","6","1","12","19","7","5","1","3","0","0","1.7","3.7","4.2","1.6","3.8","4.75"
"09/12/2024","Gaziantep","Rizespor","1","0","H","1","0","H","7","13","2","3","13","11","3","5","3","1","0","0","2.5","3.4","2.6","2.8","3.4","2.3"
"13/12/2024","Bodrumspor","Sivasspor","2","0","H","0","0","D","10","7","5","0","17","11","4","2","3","1","0","1","1.95","3.7","3.6","2.25","3.3","3.2"
"13/12/2024","Kasimpasa","Eyupspor","2","0","H","0","0","D","17","9","4","3","12","12","7","6","3","2","0","0","2.38","3.4","2.88","2.5","3.5","2.63"
"14/12/2024","Rizespor","Konyaspor","1","1","D","1","0","H","23","8","8","2","18","16","8","4","2","2","0","0","2.1","3.4","3.4","1.95","3.25","4.2"
"14/12/2024","Alanyaspor","Gaziantep","3","0","H","0","0","D","20","8","6","1","7","13","6","1","2","3","0","0","1.95","3.6","3.75","1.7","4.1","4.5"
"15/12/2024","Hatayspor","Goztep","1","1","D","0","1","A","18","15","5","6","7","14","7","6","1","3","0","0","2.9","3.4","2.35","2.88","3.4","2.38"
"15/12/2024","Antalyaspor","Kayserispor","2","0","H","1","0","H","10","6","4","1","13","17","4","9","1","3","0","0","2.05","3.5","3.4","2.05","3.5","3.4"
"15/12/2024","Fenerbahce","Buyuksehyr","3","1","H","1","0","H","22","2","7","1","14","9","14","0","1","5","0","1","1.38","5.75","6.25","1.48","5.25","5.5"
"16/12/2024","Ad. Demirspor","Besiktas","2","1","H","2","0","H","14","18","7","10","10","13","2","14","3","1","0","1","7.5","5","1.36","5.25","4.5","1.53"
"16/12/2024","Galatasaray","Trabzonspor","4","3","H","2","1","H","22","16","11","6","13","17","10","6","3","3","0","0","1.33","5.75","6.5","1.36","5.25","7"
